original_path,output_path,articleurl,status,footer_used
niagara-fall-geography.html,niagara-fall-geography.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\footer.fragment
niagara-falls-best-view-point-chatgpt.html,niagara-falls-best-view-point-chatgpt.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\footer.fragment
niagara-falls-cultures-legends-chatgpt.html,stories-of-niagara-falls.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\footer.fragment
niagara-falls-new.html,index.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\footer.fragment
niagara-falls-things-to-to-chatgpt.html,things-to-do-at-niagara-falls.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\footer.fragment
niagara-falls-travel-blog.html,niagara-falls-travel-blog.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\footer.fragment
niagarafalls-daredevils-chatgpt.html,e-to-stand-at-niagara-falls-view.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\footer.fragment
niagra-falls-crossing-the-border-chatgpt.html,crossing-the-niagara-border.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\footer.fragment
niagra-falls-history-chatgpt.html,niagara-falls-history-with-time.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\footer.fragment
niagrafalls-hotels-chatgpt.html,select-best-niagrafalls-hotel-for-best-view.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\footer.fragment
north-east\northeast-usa.html,north-east\northeast-usa.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\north-east\footer.fragment
reference\niagara-falls-best-view-point.html,reference\niagara-falls-best-view-point.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\reference\footer.fragment
reference\niagara-falls-cultures-legends.html,reference\niagara-falls-cultures-legends.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\reference\footer.fragment
reference\niagara-falls-daredevils.html,reference\niagara-falls-daredevils.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\reference\footer.fragment
reference\niagara-falls-info.html,reference\niagara-falls-info.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\reference\footer.fragment
reference\niagara-falls-landing-dark.html,reference\niagara-falls-night-view-from-hotel-embassy-suite.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\reference\footer.fragment
reference\niagara-falls-landing.html,reference\index.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\reference\footer.fragment
reference\niagara-falls-main-desc.html,reference\niagara-falls-main-desc.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\reference\footer.fragment
reference\niagara-falls-main.html,reference\niagara-falls-main.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\reference\footer.fragment
reference\niagara-falls-things-to-to.html,reference\niagara-falls-things-to-to.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\reference\footer.fragment
reference\niagara-falls.html,reference\niagara-falls.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\reference\footer.fragment
reference\niagarafalls-daredevils.html,reference\niagarafalls-daredevils.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\reference\footer.fragment
reference\niagarafalls.html,reference\niagara-falls-geography.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\reference\footer.fragment
reference\niagarafals-best-time-to-visit.html,reference\niagarafals-best-time-to-visit.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\reference\footer.fragment
reference\niagra-falls-2.html,reference\niagra-falls-2.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\reference\footer.fragment
reference\niagra-falls-at-night.html,reference\niagra-falls-at-night.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\reference\footer.fragment
reference\niagra-falls-dare-devils.html,reference\niagra-falls-dare-devils.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\reference\footer.fragment
reference\niagra-falls-history.html,reference\niagra-falls-history.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\reference\footer.fragment
reference\niagra-fals-crossing-the-border.html,reference\niagra-fals-crossing-the-border.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\reference\footer.fragment
reference\niagrafalls-hotels.html,reference\niagrafalls-hotels.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\reference\footer.fragment
usa\usacitytrip-tour.html,usa\usacitytrip-tour.html,yes,merged,c:\e\a3_output\niagarafall.info\output\content\usa\footer.fragment
